index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
589,,11.2,3.2,3.2,3.2,3.2,,11.2,11.2,11.2
590,,14.2,2.6,2.6,2.6,2.6,,14.2,14.2,14.2
591,,14.5,3.2,3.2,3.2,3.2,,14.5,14.5,14.5
613,,10.2,1.7,1.7,1.7,1.7,,10.2,10.2,10.2
614,7.3,7.3,2.2,2.2,2.2,2.2,7.3,7.3,7.3,7.3
615,6.2,6.2,1.4,1.4,1.4,1.4,6.2,6.2,6.2,6.2
616,6.0,6.0,1.1,1.1,1.1,1.1,6.0,6.0,6.0,6.0
620,6.8,6.8,1.5,1.5,1.5,1.5,6.8,6.8,6.8,6.8
621,6.4,6.4,2.3,2.3,2.3,2.3,6.4,6.4,6.4,6.4
622,8.5,8.5,1.5,1.5,1.5,1.5,8.5,8.5,8.5,8.5
623,5.3,5.3,1.0,1.0,1.0,1.0,5.3,5.3,5.3,5.3
624,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0
625,5.6,5.6,2.4,2.4,2.4,2.4,5.6,5.6,5.6,5.6
626,8.1,8.1,1.8,1.8,1.8,1.8,8.1,8.1,8.1,8.1
627,,11.9,2.4,2.4,2.4,2.4,,11.9,11.9,11.9
628,,13.2,3.2,3.2,3.2,3.2,,13.2,13.2,13.2
629,,11.9,3.3,3.3,3.3,3.3,,11.9,11.9,11.9
630,5.8,5.8,3.2,3.2,3.2,3.2,5.8,5.8,5.8,5.8
633,2.3,2.3,1.1,1.1,1.1,1.1,2.3,2.3,2.3,2.3
634,,10.6,1.6,1.6,1.6,1.6,,10.6,10.6,10.6
640,,,4.7,4.7,4.7,4.7,,,,
650,,,2.4,2.4,2.4,2.4,,,17.5,17.5
651,7.3,7.3,1.4,1.4,1.4,1.4,7.3,7.3,7.3,7.3
652,4.7,4.7,1.1,1.1,1.1,1.1,4.7,4.7,4.7,4.7
653,2.6,2.6,0.7,0.7,0.7,0.7,2.6,2.6,2.6,2.6
654,3.9,3.9,0.9,0.9,0.9,0.9,3.9,3.9,3.9,3.9
655,,10.7,2.2,2.2,2.2,2.2,,10.7,10.7,10.7
656,,10.4,1.9,1.9,1.9,1.9,,10.4,10.4,10.4
657,,10.7,2.2,2.2,2.2,2.2,,10.7,10.7,10.7
658,4.2,4.2,1.1,1.1,1.1,1.1,4.2,4.2,4.2,4.2
659,2.3,2.3,2.0,2.0,2.0,2.0,2.3,2.3,2.3,2.3
660,4.9,4.9,1.4,1.4,1.4,1.4,4.9,4.9,4.9,4.9
661,6.7,6.7,2.2,2.2,2.2,2.2,6.7,6.7,6.7,6.7
662,8.2,8.2,1.6,1.6,1.6,1.6,8.2,8.2,8.2,8.2
663,8.8,8.8,2.0,2.0,2.0,2.0,8.8,8.8,8.8,8.8
664,,10.7,2.1,2.1,2.1,2.1,,10.7,10.7,10.7
665,,11.5,2.8,2.8,2.8,2.8,,11.5,11.5,11.5
666,,13.8,2.8,2.8,2.8,2.8,,13.8,13.8,13.8
667,,10.3,2.4,2.4,2.4,2.4,,10.3,10.3,10.3
668,6.9,6.9,2.3,2.3,2.3,2.3,6.9,6.9,6.9,6.9
669,4.3,4.3,2.5,2.5,2.5,2.5,4.3,4.3,4.3,4.3
670,2.6,2.6,0.6,0.6,0.6,0.6,2.6,2.6,2.6,2.6
671,1.4,1.4,0.5,0.5,0.5,0.5,1.4,1.4,1.4,1.4
674,,14.6,2.3,2.3,2.3,2.3,,14.6,14.6,14.6
676,,,3.5,3.5,3.5,3.5,,,,20.1
688,,11.2,2.0,2.0,2.0,2.0,,11.2,11.2,11.2
689,9.0,9.0,1.5,1.5,1.5,1.5,9.0,9.0,9.0,9.0
